S.No.,Rule,Support,Lift,Confidence
76,FROZEN FD  , PRODUCE,0.142,2.074,0.67
77,SUNDRIES  , SUNDRIES,0.321,3.111,1
78,FOOD  , BAKERY,0.035,4,0.14
79,COOLER  , OFFICE,0.035,1.555,0.11
80,COOLER  , NFTCKTS,0.035,1.555,0.11
81,HABA  , COOLER,0.142,2.074,0.67
82,HABA  , NFTCKTS,0.035,2.333,0.17
83,FROZEN FD  , SERV DELI,0.035,2.333,0.17
84,PHARM OTC  , PRODUCE,0.142,2.488,0.8
85,SUNDRIES  , COOLER,0.178,1.728,0.56
86,CANDY  , FOOD,0.071,2,0.5
87,DELI  , PRODUCE,0.107,3.111,1
88,SUNDRIES  , LIQUOR,0.071,3.111,0.22
89,CANDY  , HABA,0.035,1.166,0.25
90,PHARM OTC  , COOLER,0.071,1.244,0.4
91,FOOD  , PRODUCE,0.178,2.222,0.71
92,COOLER  , PRODUCE,0.178,1.728,0.56
93,CANDY  , SERV DELI,0.035,3.5,0.25
94,LIQUOR  , PHARM OTC,0.035,2.8,0.5
95,FOOD  , PHARM OTC,0.107,2.4,0.43
96,OFFICE  , OFFICE,0.071,14,1
97,FROZEN FD  , FOOD,0.142,2.666,0.67
98,SERV DELI  , PHARM OTC,0.035,2.8,0.5
99,PRODUCE  , HABA,0.071,1.037,0.22
100,HABA  , SUNDRIES,0.107,1.555,0.5
101,PRODUCE  , LIQUOR,0.035,1.555,0.11
102,PRODUCE  , COOLER,0.178,1.728,0.56
103,LIQUOR  , LIQUOR,0.071,14,1
104,LIQUOR  , OFFICE,0.035,7,0.5
105,CANDY  , COOLER,0.107,2.333,0.75
106,OFFICE  , FROZEN FD,0.035,2.333,0.5
107,SUNDRIES  , SERV DELI,0.071,3.111,0.22
108,NFTCKTS  , NFTCKTS,0.071,14,1
109,OFFICE  , SUNDRIES,0.035,1.555,0.5
110,CANDY  , SUNDRIES,0.071,1.555,0.5
111,PHARM OTC  , LIQUOR,0.035,2.8,0.2
112,CANDY  , TOYS/SEAS,0.035,3.5,0.25
113,CANDY  , NFTCKTS,0.035,3.5,0.25
114,BAKERY  , BAKERY,0.035,28,1
115,BAKERY  , SUNDRIES,0.035,3.111,1
116,FROZEN FD  , COOLER,0.178,2.592,0.83
117,OFFICE  , COOLER,0.035,1.555,0.5
118,SERV DELI  , SERV DELI,0.071,14,1
119,FOOD  , SUNDRIES,0.178,2.222,0.71
120,NFTCKTS  , SUNDRIES,0.035,1.555,0.5
121,PRODUCE  , PRODUCE,0.321,3.111,1
122,FOOD  , OFFICE,0.035,2,0.14
123,FROZEN FD  , HABA,0.107,2.333,0.5
124,TOYS/SEAS  , CANDY,0.035,3.5,0.5
125,SERV DELI  , CANDY,0.035,3.5,0.5
126,SUNDRIES  , DELI,0.071,2.074,0.22
127,PRODUCE  , TOYS/SEAS,0.071,3.111,0.22
128,PRODUCE  , CANDY,0.107,2.333,0.33
129,TOYS/SEAS  , TOYS/SEAS,0.071,14,1
130,FROZEN FD  , FROZEN FD,0.214,4.666,1
131,PHARM OTC  , NFTCKTS,0.035,2.8,0.2
132,SERV DELI  , SUNDRIES,0.071,3.111,1
133,PHARM OTC  , SUNDRIES,0.178,3.111,1
134,HARDWARE  , HARDWARE,0.035,28,1
135,DELI  , DELI,0.107,9.333,1
136,COOLER  , SUNDRIES,0.178,1.728,0.56
137,LIQUOR  , HABA,0.071,4.666,1
138,COOLER  , LIQUOR,0.071,3.111,0.22
139,FROZEN FD  , DELI,0.071,3.111,0.33
140,BAKERY  , COOLER,0.035,3.111,1
141,FROZEN FD  , BAKERY,0.035,4.666,0.17
142,FROZEN FD  , LIQUOR,0.035,2.333,0.17
143,OFFICE  , FOOD,0.035,2,0.5
144,DELI  , TOYS/SEAS,0.035,4.666,0.33
145,TOYS/SEAS  , FROZEN FD,0.035,2.333,0.5
146,SERV DELI  , COOLER,0.035,1.555,0.5
147,NFTCKTS  , PHARM OTC,0.035,2.8,0.5
148,FOOD  , COOLER,0.214,2.666,0.86
149,GARDEN  , GARDEN,0.035,28,1
150,PHARM OTC  , FOOD,0.107,2.4,0.6
151,PRODUCE  , FOOD,0.178,2.222,0.56
152,BAKERY  , FOOD,0.035,4,1
153,OFFICE  , HABA,0.035,2.333,0.5
154,FROZEN FD  , CANDY,0.071,2.333,0.33
155,OFFICE  , LIQUOR,0.035,7,0.5
156,FROZEN FD  , TOYS/SEAS,0.035,2.333,0.17
157,DELI  , FOOD,0.107,4,1
158,HABA  , HABA,0.214,4.666,1
159,LIQUOR  , FOOD,0.071,4,1
160,LIQUOR  , COOLER,0.071,3.111,1
161,FOOD  , LIQUOR,0.071,4,0.29
162,BAKERY  , FROZEN FD,0.035,4.666,1
163,SUNDRIES  , HABA,0.107,1.555,0.33
164,FOOD  , HABA,0.071,1.333,0.29
165,HABA  , CANDY,0.035,1.166,0.17
166,TOYS/SEAS  , PRODUCE,0.071,3.111,1
167,PRODUCE  , FROZEN FD,0.142,2.074,0.44
168,SUNDRIES  , OFFICE,0.035,1.555,0.11
169,CANDY  , FROZEN FD,0.071,2.333,0.5
170,HABA  , FOOD,0.071,1.333,0.33
