S.No.,Rule,Support,Lift,Confidence
241,RED SKIN MASHED POTATOES  , BAGELS 12 COUNT,0.058,17,1
242,7-CHZ RAINBOW TORTELLINI  , BAGELS 12 COUNT,0.058,17,1
243,ORGANIC BABY PEAS 8/5#  , BAGELS 12 COUNT,0.058,17,1
244,BAGELS 12 COUNT  , BAGELS 12 COUNT,0.058,17,1
245,ORGANIC SPRING MIX  , BAGELS 12 COUNT,0.058,17,1
246,KS 2PLY BATH TIS 30/425SH  , BAGELS 12 COUNT,0.058,17,1
247,DELUXE VEGETBLE BLND 8/5#  , BAGELS 12 COUNT,0.058,17,1
248,ONE A DAY WOMEN'S VITAMIN  , BAGELS 12 COUNT,0.058,17,1
249,SCOOP AWAY 42LB LITTER BG  , BAGELS 12 COUNT,0.058,17,1
250,SUGAR SNAP PEA  , BAGELS 12 COUNT,0.058,8.5,1
251,GAROFALO PASTA VTY 6/1.1#  , BAGELS 12 COUNT,0.058,17,1
252,FRIGO STRING CHEESE 60/1Z  , BAGELS 12 COUNT,0.058,17,1
253,GAROFALO SPAG 8/17.6OZ  , BAGELS 12 COUNT,0.058,17,1
254,KS MOIST FLUSHABLE WIPES  , BAGELS 12 COUNT,0.058,17,1
255,ROMAINE HEARTS  6 CT BAG  , BAGELS 12 COUNT,0.058,17,1
256,WHOLE GRAIN WHITE 2/32 OZ  , BAGELS 12 COUNT,0.058,17,1
257,KS PLC WRAP 2/750'11 7/8  , BAGELS 12 COUNT,0.058,17,1
258,COFFEEMATE F.VAN. 1/64 OZ  , BAGELS 12 COUNT,0.058,17,1
259,NP ORG FLAX GRNOLA 35.3Z  , BAGELS 12 COUNT,0.058,8.5,1
260,FRESH CELERY STALKS  , BAGELS 12 COUNT,0.058,17,1
261,HALF & HALF UP HG  , BAGELS 12 COUNT,0.058,17,1
262,RICE KRISPIE TRT 54/.78 Z  , BAGELS 12 COUNT,0.058,17,1
263,FOUR BEAN SALAD 2/35.5 OZ  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
264,CHKN POTSTICKERS 9/4.2#  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
265,KASIA'S PIEROGI 8/3-14 OZ  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
266,CRIMINI MUSHROOMS  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
267,KS CHARDONNAY 1.5L  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
268,SALONPAS PAIN RELIEVING  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
269,BODEGA NORTON MALBEC RSV  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
270,ORGANIC BABY SPINACH  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
271,SOUVERAIN CHARDONNAY  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
272,KJ GRAND RSV CHARDONNAY  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
273,SUGAR SNAP PEA  , KASIA'S PIEROGI 8/3-14 OZ,0.058,8.5,1
274,RASPBERRIES 12OZ CLMSHEL  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
275,LA CARRAIA UMBRIA  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
276,CHICKEN POT PIES 8CT/10OZ  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
277,CLOS DU BOIS CHARDONNAY  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
278,WHOLE ARTICHOKES 6/2-32OZ  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
279,WILD PACIFIC COLD WATER  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
280,KS MALBEC  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
281,NP ORG FLAX GRNOLA 35.3Z  , KASIA'S PIEROGI 8/3-14 OZ,0.058,8.5,1
282,CEDAR GRILLING PLANKS 6PK  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
283,SALAD MIX  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
284,KS BUTTER QTRS  6-4/1#  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
285,BENMARCO MALBEC  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
286,KS HEALTHY WEIGHT CAT 20#  , KASIA'S PIEROGI 8/3-14 OZ,0.058,17,1
287,LEM-LIME POWDER 76.5Z GAT  , LEM-LIME POWDER 76.5Z GAT,0.058,17,1
288,CACIQUE QUESO FRESCO 2/16  , LEM-LIME POWDER 76.5Z GAT,0.058,17,1
289,CAPRI SUN 10% JUICE 40/6Z  , LEM-LIME POWDER 76.5Z GAT,0.058,17,1
290,BEST FOODS MAYO 64 OZ  , LEM-LIME POWDER 76.5Z GAT,0.058,17,1
291,S.V. PINTO BEANS   8/15 Z  , LEM-LIME POWDER 76.5Z GAT,0.058,17,1
292,KS NAT. PSYLLIUM FIBER ST  , LEM-LIME POWDER 76.5Z GAT,0.058,17,1
293,ORGANIC GREEN BEANS 8/5#  , KS PECORINO ROMANO 1.7#RW,0.058,17,1
294,GAROFALO SPAG 8/17.6OZ  , KS PECORINO ROMANO 1.7#RW,0.058,17,1
295,BROCCOLI FLORETS 8/3.5#  , KS PECORINO ROMANO 1.7#RW,0.058,17,1
296,7-CHZ RAINBOW TORTELLINI  , KS PECORINO ROMANO 1.7#RW,0.058,17,1
