S.No.,Rule,Support,Lift,Confidence
170,NP ORG FLAX GRNOLA 35.3Z  , SWISS MISS NO-SUGAR 60CT,0.034,5.8,1
171,KS MARINARA SAUCE 3/32OZ  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
172,KS ARTICHOKE IN OIL 2/33Z  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
173,SWISS MISS NO-SUGAR 60CT  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
174,KS RED RASPBERRY 42 OZ  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
175,MISSION 10 FLOUR TORT.  , SWISS MISS NO-SUGAR 60CT,0.034,29,1
176,GAROFALO PASTA VTY 6/1.1#  , KALAMATA OLIVES 52.9OZ,0.034,29,1
177,NP ORG FLAX GRNOLA 35.3Z  , KALAMATA OLIVES 52.9OZ,0.034,5.8,1
178,FROSTED MINI-WHEATS 70 OZ  , KALAMATA OLIVES 52.9OZ,0.034,9.666,1
179,GAROFALO SPAG 8/17.6OZ  , KALAMATA OLIVES 52.9OZ,0.034,14.5,1
180,BTB ORG CHICKEN BASE 16OZ  , KALAMATA OLIVES 52.9OZ,0.034,29,1
181,WHOLE GRAIN WHITE 2/32 OZ  , KALAMATA OLIVES 52.9OZ,0.034,14.5,1
182,KALAMATA OLIVES 52.9OZ  , KALAMATA OLIVES 52.9OZ,0.034,29,1
183,B&W WILD PINK SALMON 6/6Z  , B&W WILD PINK SALMON 6/6Z,0.034,29,1
184,GO GO APPLESAUCE 16/3.2OZ  , B&W WILD PINK SALMON 6/6Z,0.034,29,1
185,KS GREEN BEANS 12/14.5OZ  , B&W WILD PINK SALMON 6/6Z,0.034,29,1
186,HUNTS SNACK PACK 36/3.75  , B&W WILD PINK SALMON 6/6Z,0.034,29,1
187,APPLE BERRY SQUEEZABLE  , B&W WILD PINK SALMON 6/6Z,0.034,29,1
188,HLTHY BGNNNGS WHITE WHEAT  , C&F MAYOCOBA BEANS,0.034,29,1
189,MOTT'S APPLE JUICE 2/128Z  , C&F MAYOCOBA BEANS,0.034,29,1
190,C&F MAYOCOBA BEANS  , C&F MAYOCOBA BEANS,0.034,29,1
191,MOTTS ORIGINAL APPLESAUCE  , C&F MAYOCOBA BEANS,0.034,29,1
192,DM FRUIT VTY CUP 20/4 OZ  , C&F MAYOCOBA BEANS,0.034,29,1
193,KS GARLIC & MED SEA SALT  , C&F MAYOCOBA BEANS,0.034,29,1
194,412086 PARSLEY FLAKES  , C&F MAYOCOBA BEANS,0.034,29,1
195,HEINZ KETCHUP 3/44 OZ.  , HEINZ KETCHUP 3/44 OZ.,0.034,29,1
196,OROWEAT PICK 2-2/32 OZ.  , HEINZ KETCHUP 3/44 OZ.,0.034,29,1
197,KELLOGGS RAISIN BRAN 76.5  , HEINZ KETCHUP 3/44 OZ.,0.034,29,1
198,NP ORG FLAX GRNOLA 35.3Z  , FROSTED MINI-WHEATS 70 OZ,0.068,3.866,0.67
199,KS ORG DICED TOM 8/14.5OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
200,CAPRI SUN SUPERV 40/6 OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
201,KALAMATA OLIVES 52.9OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
202,GAROFALO SPAG 8/17.6OZ  , FROSTED MINI-WHEATS 70 OZ,0.068,9.666,0.67
203,WHOLE GRAIN WHITE 2/32 OZ  , FROSTED MINI-WHEATS 70 OZ,0.068,9.666,0.67
204,BTB ORG CHICKEN BASE 16OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
205,KS MULTIGRAIN ROUNDS 24CT  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
206,KS MARINARA SAUCE 3/32OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
207,HUNT'S SNACK PACK 36/3.75  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
208,KS SLICED PEACHES 8/15OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
209,FROSTED MINI-WHEATS 70 OZ  , FROSTED MINI-WHEATS 70 OZ,0.103,9.666,1
210,KS ORG EX V OLIVE OIL 2L  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
211,KS RED RASPBERRY 42 OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
212,KS PURE HONEY BEAR 3/24OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
213,XL PITTED BLK OLIVES 8/6Z  , FROSTED MINI-WHEATS 70 OZ,0.034,4.833,0.33
214,SKIPPY CREAMY 2/48 OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
215,STUFF QUEEN OLIVES 2/21OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
216,KS ARTICHOKE IN OIL 2/33Z  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
217,GAROFALO PASTA VTY 6/1.1#  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
218,SWISS MISS NO-SUGAR 60CT  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
219,KS CHICKEN BREAST 6/12.5Z  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
220,QUAKER TOASTED OATMEAL  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
221,6' HOT DOG BUNS 24CT  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
222,MISSION 10 FLOUR TORT.  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
223,SUNPIX HEARTS/PALM 2/25OZ  , FROSTED MINI-WHEATS 70 OZ,0.034,9.666,0.33
224,NP ORG FLAX GRNOLA 35.3Z  , WHOLE ARTICHOKES 6/2-32OZ,0.034,5.8,1
225,FOUR BEAN SALAD 2/35.5 OZ  , WHOLE ARTICHOKES 6/2-32OZ,0.034,29,1
226,WHOLE ARTICHOKES 6/2-32OZ  , WHOLE ARTICHOKES 6/2-32OZ,0.034,29,1
227,KS ORGANIC NO-SALT 14.5OZ  , KS ORGANIC NO-SALT 14.5OZ,0.034,29,1
228,ORGANICVILLE SESAME 35 OZ  , KS ORGANIC NO-SALT 14.5OZ,0.034,29,1
229,NESQUIK 48.75 OZ CHOC  , NESQUIK 48.75 OZ CHOC,0.034,29,1
230,HONEY BUNCHES OATS 48OZ  , HONEY BUNCHES OATS 48OZ,0.034,29,1
231,SKIPPY CHUNKY 2/48 OZ  , HONEY BUNCHES OATS 48OZ,0.034,29,1
232,COFFEEMATE ORIGINAL 56OZ  , HONEY BUNCHES OATS 48OZ,0.034,29,1
233,S.V. PINTO BEANS   8/15 Z  , S.V. PINTO BEANS   8/15 Z,0.034,29,1
234,CAPRI SUN 10% JUICE 40/6Z  , S.V. PINTO BEANS   8/15 Z,0.034,29,1
235,LEM-LIME POWDER 76.5Z GAT  , S.V. PINTO BEANS   8/15 Z,0.034,29,1
236,BEST FOODS MAYO 64 OZ  , S.V. PINTO BEANS   8/15 Z,0.034,29,1
237,MISSION 10 FLOUR TORT.  , MISSION 10 FLOUR TORT.,0.034,29,1
238,KS ORG DICED TOM 8/14.5OZ  , MISSION 10 FLOUR TORT.,0.034,29,1
239,KS CHICKEN BREAST 6/12.5Z  , MISSION 10 FLOUR TORT.,0.034,29,1
240,CAPRI SUN SUPERV 40/6 OZ  , MISSION 10 FLOUR TORT.,0.034,29,1
241,KS ORG EX V OLIVE OIL 2L  , MISSION 10 FLOUR TORT.,0.034,29,1
242,KS MARINARA SAUCE 3/32OZ  , MISSION 10 FLOUR TORT.,0.034,29,1
243,NP ORG FLAX GRNOLA 35.3Z  , MISSION 10 FLOUR TORT.,0.034,5.8,1
244,SUNPIX HEARTS/PALM 2/25OZ  , MISSION 10 FLOUR TORT.,0.034,29,1
245,GAROFALO SPAG 8/17.6OZ  , MISSION 10 FLOUR TORT.,0.034,14.5,1
246,KS PURE HONEY BEAR 3/24OZ  , MISSION 10 FLOUR TORT.,0.034,29,1
247,XL PITTED BLK OLIVES 8/6Z  , MISSION 10 FLOUR TORT.,0.034,14.5,1
248,WHOLE GRAIN WHITE 2/32 OZ  , MISSION 10 FLOUR TORT.,0.034,14.5,1
249,HUNT'S SNACK PACK 36/3.75  , MISSION 10 FLOUR TORT.,0.034,29,1
250,KS ARTICHOKE IN OIL 2/33Z  , MISSION 10 FLOUR TORT.,0.034,29,1
251,FROSTED MINI-WHEATS 70 OZ  , MISSION 10 FLOUR TORT.,0.034,9.666,1
252,KS RED RASPBERRY 42 OZ  , MISSION 10 FLOUR TORT.,0.034,29,1
253,STUFF QUEEN OLIVES 2/21OZ  , MISSION 10 FLOUR TORT.,0.034,29,1
254,SWISS MISS NO-SUGAR 60CT  , MISSION 10 FLOUR TORT.,0.034,29,1
255,KS SLICED PEACHES 8/15OZ  , MISSION 10 FLOUR TORT.,0.034,29,1
256,QUAKER TOASTED OATMEAL  , MISSION 10 FLOUR TORT.,0.034,29,1
257,C&F MAYOCOBA BEANS  , KS GARLIC & MED SEA SALT,0.034,29,1
258,412086 PARSLEY FLAKES  , KS GARLIC & MED SEA SALT,0.034,29,1
259,HLTHY BGNNNGS WHITE WHEAT  , KS GARLIC & MED SEA SALT,0.034,29,1
260,MOTTS ORIGINAL APPLESAUCE  , KS GARLIC & MED SEA SALT,0.034,29,1
261,KS GARLIC & MED SEA SALT  , KS GARLIC & MED SEA SALT,0.034,29,1
262,MOTT'S APPLE JUICE 2/128Z  , KS GARLIC & MED SEA SALT,0.034,29,1
263,DM FRUIT VTY CUP 20/4 OZ  , KS GARLIC & MED SEA SALT,0.034,29,1
264,NP ORG CHIA COCONUT 35.3Z  , S&W BLACK BEANS 8/15 OZ,0.034,29,1
265,NP ORG FLAX GRNOLA 35.3Z  , S&W BLACK BEANS 8/15 OZ,0.034,5.8,1
